"state","Year","Month","Avg_Natural_Cause","Avg_Septicemia","Avg_Malignant_neoplasms","Avg_Diabetes_mellitus","Avg_Alzheimer_disease","Avg_Influenza_and_pneumonia","Avg_Chronic_lower_respiratory_diseases","Avg_Other_diseases_of_respiratory_system","Avg_Nephritis_nephrotic_syndrom_and_nephrosis","Avg_Symptoms_signs_abnormal_clinical_laboratory_findings","Avg_Diseases_of_heart","Avg_Cerebrovascular_diseases","Avg_COVID-19 (Underlying Cause of Death)","Avg_COVID-19 (Multiple Cause of Death)"
"Maryland",2020,9,900,17,198,33,18,15,33,NULL,14,NULL,234,51,39,47
"Indiana",2020,7,1212,24,262,47,47,12,75,17,24,11,277,59,63,72
"Oregon",2021,3,719,NULL,172,21,43,NULL,35,10,NULL,14,146,42,22,27
"Oklahoma",2020,9,754,11,157,26,27,NULL,52,10,NULL,NULL,207,31,67,80
"Indiana",2021,4,1198,19,257,51,37,12,78,21,28,12,268,64,48,64
"Kansas",2022,7,480,5,101,17,15,NULL,24,12,11,21,102,23,15,19
"Vermont",2020,3,120,0,28,NULL,10,NULL,12,NULL,0,0,31,NULL,0,0
"Indiana",2020,6,1243,20,254,52,48,15,72,14,24,NULL,279,58,102,116
"Texas",2021,7,4022,72,840,145,186,52,190,58,85,46,930,224,259,291
"District of Columbia",2022,7,101,NULL,22,NULL,0,0,NULL,0,NULL,15,24,10,0,NULL
"Washington",2021,2,1154,11,260,45,74,15,50,14,NULL,15,249,55,85,103
"Oregon",2021,6,694,NULL,156,23,37,NULL,41,13,NULL,12,144,39,23,29
"Minnesota",2021,3,792,11,179,29,40,NULL,35,14,13,20,154,46,31,47
"Idaho",2021,8,307,NULL,56,13,15,NULL,16,NULL,NULL,NULL,65,16,45,49
"Oklahoma",2021,10,885,14,151,29,31,10,52,10,14,NULL,230,33,151,174
"Texas",2022,5,3719,68,816,139,172,47,182,62,84,82,894,218,43,71
"Minnesota",2022,6,795,10,187,27,39,NULL,37,14,11,17,164,43,24,43
"Idaho",2022,7,299,NULL,65,NULL,16,0,19,10,NULL,13,60,16,14,17
"New Mexico",2020,12,603,NULL,69,16,16,12,24,NULL,NULL,0,86,19,231,244
"Virginia",2021,7,1272,19,304,44,43,18,60,26,29,18,297,71,20,26
"Michigan",2020,11,2334,24,410,68,103,28,96,22,38,14,538,112,430,478
"Georgia",2021,9,2670,41,346,68,82,29,102,45,51,27,461,106,873,927
"Kentucky",2021,7,903,16,189,29,27,11,64,17,20,13,218,47,36,44
"Nebraska",2022,1,435,12,66,13,21,10,19,NULL,NULL,NULL,90,18,69,86
"Hawaii",2021,4,226,0,50,11,14,NULL,10,NULL,NULL,0,51,16,NULL,NULL
"South Carolina",2020,10,1035,16,201,33,44,12,56,15,18,NULL,220,52,103,112
"Connecticut",2022,2,689,12,128,14,24,10,25,13,22,11,145,29,83,104
"South Dakota",2022,2,187,NULL,35,NULL,NULL,NULL,13,NULL,NULL,0,36,NULL,27,37
"District of Columbia",2020,9,101,0,19,NULL,0,NULL,NULL,0,0,0,29,NULL,NULL,NULL
"Massachusetts",2020,12,1320,17,244,29,34,21,43,18,22,17,244,42,255,281
"Tennessee",2022,3,1504,28,287,50,54,20,83,20,23,21,376,77,122,161
"Texas",2021,3,4391,70,799,151,202,55,183,55,89,36,979,242,580,647
"Washington",2021,4,1068,10,255,45,63,12,45,15,NULL,13,243,55,40,51
"Kansas",2020,2,504,NULL,104,16,24,18,35,12,13,10,116,24,0,0
"New Hampshire",2020,2,228,NULL,52,10,10,NULL,19,NULL,5,NULL,54,13,0,0
"Minnesota",2021,11,1089,12,210,35,55,11,46,14,11,26,185,47,178,201
"Alabama",2022,3,1054,20,181,30,43,15,65,18,26,17,280,55,79,98
"Puerto Rico",2022,4,576,13,99,51,53,16,18,12,20,17,112,23,17,13
"Vermont",2020,7,90,0,28,0,NULL,0,NULL,0,0,0,27,NULL,0,0
"Utah",2022,2,445,NULL,66,14,21,NULL,17,NULL,NULL,NULL,93,22,62,77
"Delaware",2021,9,200,NULL,42,11,11,0,15,NULL,NULL,0,42,16,27,29
"United States",2020,7,56296,709,11389,1932,2461,736,2611,743,963,649,12928,2912,5834,6447
"Florida",2020,7,4813,52,858,170,151,61,219,51,61,66,1015,303,861,963
"Mississippi",2021,12,657,NULL,121,30,31,17,45,13,15,11,162,39,34,45
"Indiana",2021,1,1699,19,272,58,52,20,77,23,35,11,310,66,418,467
"Wyoming",2022,6,83,0,17,NULL,NULL,0,NULL,0,0,0,21,NULL,0,NULL
"Michigan",2022,3,1853,23,410,71,76,24,93,22,43,23,469,108,75,114
"South Carolina",2022,7,965,16,202,28,45,10,46,16,17,41,210,55,34,51
"South Carolina",2021,11,1064,17,196,40,42,11,54,14,20,NULL,236,63,90,103
"Oregon",2020,10,673,NULL,150,21,38,NULL,33,10,11,12,138,42,23,28
"Utah",2022,7,373,NULL,69,14,21,0,13,NULL,11,14,86,17,14,20
"New Jersey",2021,2,1760,44,295,44,53,21,44,38,39,21,393,78,325,369
"Wisconsin",2021,5,906,12,208,30,34,10,37,14,13,NULL,244,47,31,39
"Maine",2021,4,265,0,70,10,10,NULL,11,NULL,NULL,0,61,12,12,12
"Kansas",2020,5,473,NULL,95,18,17,11,29,10,10,13,118,18,21,22
"Vermont",2021,1,118,0,26,NULL,13,0,NULL,0,0,0,31,NULL,16,19
"New Hampshire",2022,2,271,NULL,51,11,12,NULL,15,NULL,NULL,0,63,14,26,35
"Massachusetts",2021,9,1057,20,245,29,25,14,41,19,20,18,228,36,69,76
"Kansas",2021,5,464,NULL,99,16,13,11,26,10,18,NULL,113,24,16,18
"Wisconsin",2021,8,992,12,220,29,43,13,48,14,21,14,242,38,58,66
"Connecticut",2022,6,539,NULL,131,11,17,12,20,15,14,15,124,27,16,22
"Maryland",2020,7,914,15,208,29,20,12,32,11,13,NULL,226,49,61,73
"Massachusetts",2022,1,1507,22,247,35,38,22,52,29,30,16,285,56,304,364
"Alaska",2022,8,77,NULL,17,NULL,NULL,0,0,NULL,NULL,0,16,NULL,0,NULL
"Vermont",2021,5,102,0,27,NULL,NULL,0,11,0,0,0,25,NULL,0,0
"Oregon",2022,1,903,11,170,32,39,NULL,39,12,13,15,175,53,112,132
"Utah",2022,1,487,NULL,68,16,23,NULL,18,NULL,10,18,100,23,79,93
"Virginia",2021,9,1566,21,298,49,51,17,61,24,37,14,305,71,261,273
"Rhode Island",2021,5,183,0,43,NULL,13,0,11,NULL,NULL,NULL,45,NULL,17,15
"Arizona",2022,3,1303,13,272,50,46,14,70,23,18,16,288,68,89,118
"Oregon",2020,5,651,NULL,156,23,31,NULL,36,11,11,13,140,41,13,14
"Mississippi",2020,8,785,10,130,26,40,15,37,NULL,13,11,163,33,175,196
"Kansas",2020,1,571,11,103,17,19,20,41,11,12,10,125,25,58,62
"Delaware",2021,4,174,NULL,35,12,10,0,13,NULL,NULL,0,39,15,14,15
"California",2022,6,5106,31,1142,199,326,73,208,57,87,198,1162,341,141,199
"Nevada",2020,2,498,NULL,98,22,15,14,44,NULL,NULL,NULL,147,33,0,0
"California",2020,4,5587,33,1147,229,373,136,282,57,90,21,1299,353,420,435
"Maine",2021,3,250,0,61,11,12,NULL,19,NULL,NULL,0,55,13,NULL,11
"Vermont",2020,1,108,0,27,NULL,NULL,0,12,0,0,0,30,NULL,2,2
"Alabama",2020,3,985,16,189,26,60,29,69,25,21,19,259,66,6,7
"Mississippi",2020,10,659,NULL,124,28,36,15,39,10,13,NULL,159,34,72,86
"Arkansas",2022,5,600,12,121,26,27,11,42,10,16,NULL,160,30,11,12
"Arkansas",2021,1,862,16,127,33,37,14,55,11,16,NULL,170,35,208,233
"Connecticut",2020,2,594,14,127,15,17,21,29,13,12,10,156,26,0,0
"California",2021,2,7066,35,1140,240,366,108,231,56,85,27,1333,360,1855,2002
"Virginia",2020,4,1464,18,282,51,60,30,67,28,28,16,299,75,145,150
"Montana",2021,3,176,NULL,36,NULL,NULL,NULL,11,NULL,NULL,NULL,38,10,14,14
"Ohio",2020,2,2296,42,481,78,104,56,153,41,42,36,603,140,0,0
"Alabama",2021,4,1044,22,206,32,45,20,57,20,18,20,269,60,45,52
"New Jersey",2021,9,1417,40,305,35,40,24,41,29,27,29,345,75,118,133
"Texas",2020,2,3889,64,856,145,208,91,238,63,82,33,980,217,0,0
"North Dakota",2022,6,117,NULL,23,NULL,10,NULL,NULL,0,NULL,0,29,NULL,NULL,NULL
"Arkansas",2022,3,670,14,126,33,36,13,45,12,13,NULL,158,33,38,53
"United States",2020,6,52516,706,11181,1756,2319,719,2542,763,928,582,12452,2877,3732,4247
"Rhode Island",2020,12,291,NULL,42,11,14,NULL,NULL,0,NULL,0,43,11,96,115
"Texas",2021,6,3846,65,816,148,186,45,197,61,83,57,885,218,150,177
"New Hampshire",2021,3,216,NULL,50,12,13,NULL,15,NULL,NULL,0,48,13,12,14
"Ohio",2022,8,2235,33,449,66,90,22,118,45,38,168,495,133,92,139
"Iowa",2022,2,685,13,123,20,35,NULL,33,10,11,12,155,27,90,112
"Massachusetts",2021,1,1446,21,241,36,35,19,46,19,29,15,259,46,329,362
"Wisconsin",2022,8,965,11,203,21,38,14,45,14,16,66,222,51,26,45
"Virginia",2022,5,1307,20,296,45,39,16,56,21,33,26,304,75,26,40
"Montana",2021,2,194,NULL,36,11,NULL,0,11,NULL,NULL,0,47,10,16,19
"Maine",2022,6,287,0,68,13,11,NULL,20,11,NULL,0,64,15,11,16
"West Virginia",2022,3,489,NULL,91,20,15,14,32,NULL,13,15,108,20,45,59
"Arizona",2022,8,1165,NULL,246,38,49,16,57,16,15,106,249,56,25,41
"New Mexico",2021,12,549,NULL,80,16,16,NULL,20,11,10,NULL,86,22,161,173
"New Jersey",2022,3,1365,41,294,41,38,16,46,35,38,24,353,76,37,55
"New Hampshire",2021,4,210,0,45,12,NULL,0,15,NULL,0,NULL,49,12,10,12
"Ohio",2022,2,2831,41,457,97,105,39,129,43,57,28,648,155,461,562
"Connecticut",2022,8,551,14,129,14,18,10,20,11,13,43,108,24,18,24
"Utah",2021,1,451,NULL,64,19,20,10,17,11,NULL,13,83,19,80,92
"Iowa",2021,7,517,14,109,19,17,10,29,10,12,NULL,137,25,12,14
"Utah",2020,4,353,NULL,74,17,23,NULL,18,NULL,NULL,NULL,78,15,14,13
"Rhode Island",2021,4,176,0,43,NULL,NULL,0,NULL,NULL,NULL,0,45,11,12,14
"Minnesota",2022,1,1127,13,215,37,49,17,49,13,16,30,198,55,183,219
"Indiana",2022,8,1203,15,268,40,39,12,84,25,26,14,265,62,48,71
"Nebraska",2022,3,322,NULL,67,11,11,NULL,19,NULL,NULL,NULL,71,16,24,23
"Oklahoma",2022,1,1182,NULL,173,33,47,18,78,12,11,0,285,42,280,334
"Arkansas",2020,8,691,12,122,24,34,13,42,13,11,NULL,175,33,81,93
"Virginia",2021,11,1524,22,306,54,49,19,61,28,33,15,343,81,128,142
"North Dakota",2021,3,131,NULL,26,NULL,10,NULL,NULL,NULL,NULL,0,28,10,0,6
"New Jersey",2022,5,1332,34,290,35,37,17,50,30,33,38,342,58,44,64
"United States",2022,9,46776,634,10368,1388,1924,566,2208,744,896,3381,10054,2581,1434,2232
"Alaska",2021,8,112,0,22,NULL,0,0,NULL,0,0,NULL,22,NULL,21,23
"West Virginia",2021,4,421,NULL,87,18,13,NULL,22,NULL,12,12,102,20,26,31
"Colorado",2022,4,746,11,159,23,36,12,45,14,12,NULL,165,40,12,21
"Arkansas",2020,10,729,18,117,29,34,12,43,12,14,NULL,165,32,121,139
"West Virginia",2021,12,557,13,90,27,17,NULL,36,11,12,18,120,20,85,95
"Wyoming",2022,9,78,0,15,NULL,NULL,0,NULL,0,NULL,NULL,16,0,NULL,NULL
"Montana",2022,7,195,0,43,NULL,NULL,0,14,NULL,0,12,43,13,11,12
"South Dakota",2022,8,141,0,30,NULL,11,NULL,NULL,NULL,0,0,32,11,NULL,10
"Montana",2022,6,173,NULL,45,NULL,NULL,0,11,NULL,NULL,NULL,41,NULL,NULL,NULL
"Wyoming",2022,2,114,0,21,NULL,NULL,0,13,NULL,NULL,0,20,NULL,17,20
"Maine",2021,6,273,0,65,15,NULL,NULL,15,NULL,NULL,0,64,14,10,11
"New Jersey",2021,8,1315,37,295,36,39,21,48,30,27,23,331,62,68,78
"Montana",2020,1,201,NULL,41,NULL,11,NULL,18,NULL,NULL,0,49,10,9,10
"Wyoming",2021,10,143,0,21,NULL,NULL,NULL,10,0,NULL,0,22,NULL,42,47
"North Dakota",2020,12,212,0,29,NULL,10,NULL,NULL,0,NULL,0,28,NULL,83,92
"South Dakota",2020,1,159,0,34,NULL,12,NULL,13,0,0,0,37,10,8,11
"Washington",2020,3,1118,12,228,38,72,31,63,19,12,11,245,63,56,60
"Kansas",2020,7,478,NULL,104,22,17,NULL,29,11,12,10,106,21,19,21
"Arkansas",2022,6,612,13,125,24,29,13,45,14,18,11,153,34,10,13
